Nome;Idade;Nac;Valor Estimado;Salário;Nota media;Gols;Minutos;Cruzamentos tentados;Assistencias;Passes tentados;Pressão tentadas
Juan Mart�n Lucero;32.0;ARG;N�o est� � venda;R$220.000 p/m;6.96;21;3.882;30;3;1.176;
Yago Pikachu;32.0;BRA;N�o est� � venda;R$240.000 p/m;6.96;5;3.71;279;7;1.41;
Luquinhas;28.0;BRA;R$1M - R$3M;R$170.000 p/m;6.6;1;438.0;2;1;140.0;
Diogo;27.0;BRA;R$4,75M - R$14M;R$39.000 p/m;6.58;1;149.0;1;0;40.0;
Paulinho;27.0;BRA;R$15M - R$44M;R$285.000 p/m;6.77;4;2.69;21;2;1.028;
J�nior Santos;30.0;BRA;R$39M - R$115M;R$370.000 p/m;7.05;16;2.697;51;7;806.0;
Marinho;34.0;BRA;R$1M - R$3M;R$500.000 p/m;6.82;5;1.182;24;1;337.0;
Felipe Vizeu;27.0;BRA;R$2,5M - R$7,5M;R$100.000 p/m;6.74;9;1.473;5;2;357.0;
Pedro Raul;28.0;BRA;R$21M - R$64M;R$265.000 p/m;7.0;21;3.346;21;1;1.264;
Geuv�nio;32.0;BRA;N�o est� � venda;R$57.500 p/m;6.86;4;2.397;78;5;825.0;
Rodrigo Nestor;24.0;BRA;R$46M - R$140M;R$100.000 p/m;6.98;4;2.767;74;3;1.147;
Clayson;29.0;BRA;R$35M - R$105M;R$200.000 p/m;6.98;12;3.135;84;8;1.079;
David;29.0;BRA;R$6,5M - R$19M;R$300.000 p/m;6.91;14;3.092;23;2;843.0;
Pablo;32.0;BRA;R$4,75M - R$14M;R$435.000 p/m;6.96;14;3.666;33;11;1.003;
Camilo Sanvezzo;36.0;BRA;R$300m - R$850m;R$137.500 p/m;6.78;9;1.783;18;1;425.0;
Breno Lopes;28.0;BRA;R$800m - R$2,4M;R$280.000 p/m;6.91;5;2.851;75;6;1.053;
Eduardo Sasha;32.0;BRA;R$700m - R$2,1M;R$350.000 p/m;6.88;15;2.897;10;2;678.0;
Helinho;24.0;BRA;R$49M - R$145M;R$220.000 p/m;7.06;10;4.073;159;6;1.741;
Wesley;25.0;BRA;R$29M - R$86M;R$215.000 p/m;6.85;5;2.694;91;2;972.0;
John Kennedy;22.0;BRA;R$24M - R$70M;R$225.000 p/m;6.83;9;1.865;10;2;486.0;
Caio Paulista;26.0;BRA;R$18M - R$54M;R$290.000 p/m;6.96;9;2.431;103;6;1.03;
Patrick;32.0;BRA;R$5M;R$600.000 p/m;6.88;5;1.414;30;2;653.0;
Biel;23.0;BRA;R$35M - R$105M;R$225.000 p/m;6.92;12;4.246;147;6;1.645;
Maur�cio;23.0;BRA;R$42M - R$125M;R$150.000 p/m;7.05;4;2.61;26;4;1.855;
Rikelme;21.0;BRA;R$20M - R$62M;R$100.000 p/m;7.06;7;3.282;91;4;1.207;
Michel Ara�jo;28.0;URU;R$11M - R$33M;R$295.000 p/m;6.83;3;863.0;15;1;284.0;
Bruno Rodrigues;27.0;BRA;R$6M - R$19M;R$250.000 p/m;6.74;1;227.0;5;0;109.0;
Nen�;43.0;BRA;R$180m - R$500m;R$130.000 p/m;6.88;10;3.335;76;4;1.203;
Jeffinho;24.0;BRA;R$7,5M - R$23M;R$225.000 p/m;6.82;2;1.676;72;1;685.0;
Gilberto;35.0;BRA;N�o est� � venda;R$177.500 p/m;6.73;11;3.31;20;2;780.0;
Nik�o;32.0;BRA;R$50m;R$600.000 p/m;6.67;0;228.0;5;0;94.0;
Alerrandro;24.0;BRA;R$6M - R$18M;R$167.500 p/m;6.7;12;3.407;10;1;789.0;
Pedro Rocha;30.0;BRA;R$3M - R$8,5M;R$200.000 p/m;7.08;1;368.0;5;0;129.0;
Ademir;29.0;BRA;R$36M;R$300.000 p/m;7.12;15;4.74;188;6;1.878;
Fernando Sobral;29.0;BRA;R$14M - R$42M;R$187.500 p/m;7.09;14;4.179;125;8;1.776;
Luciano Juba;25.0;BRA;R$13M - R$39M;R$120.000 p/m;6.97;5;3.027;128;7;1.388;
Ferreira;26.0;BRA;R$11M - R$34M;R$220.000 p/m;7.01;4;1.311;41;5;507.0;
Luiz Fernando;28.0;BRA;R$1,2M - R$3,5M;R$107.500 p/m;7.03;10;3.682;164;4;1.331;
Sorriso;23.0;BRA;R$18M - R$54M;R$155.000 p/m;6.83;4;1.584;50;2;585.0;
Gustavo Silva;27.0;BRA;R$8,5M - R$26M;R$250.000 p/m;6.85;1;781.0;17;2;273.0;
Henry Mosquera;23.0;COL;R$9M - R$27M;R$192.500 p/m;6.79;3;1.778;49;2;718.0;
Marquinhos Gabriel;34.0;BRA;N�o est� � venda;R$117.500 p/m;6.78;8;3.554;53;4;1.271;
Iury Castilho;29.0;BRA;R$3,5M - R$10M;R$112.500 p/m;6.77;0;366.0;9;1;128.0;
Juan Santos;22.0;BRA;R$600m - R$1,7M;R$152.500 p/m;6.8;3;2.072;58;4;780.0;
Renato Kayser;28.0;BRA;R$2,75M - R$8M;R$43.000 p/m;6.67;13;3.415;38;1;879.0;
Gustavo Coutinho;25.0;BRA;R$6,5M - R$19M;R$47.000 p/m;6.78;16;3.731;21;1;844.0;
Thiaguinho;23.0;BRA;R$40m - R$120m;R$34.000 p/m;8.4;0;82.0;1;1;36.0;
Jhonata Robert;25.0;BRA;R$120m;R$50.000 p/m;6.73;0;446.0;8;0;144.0;
Lucas Barbosa;23.0;BRA;R$2,75M - R$8M;R$5.000 p/m;7.06;5;2.237;74;2;844.0;
Matheusinho;27.0;BRA;R$13M - R$40M;R$130.000 p/m;6.84;7;3.422;42;6;1.335;
Airton;25.0;BRA;R$7,5M - R$22M;R$115.000 p/m;6.84;4;2.198;84;5;683.0;
Jonathan Cafu;33.0;BRA;R$0;R$65.000 p/m;6.62;0;111.0;4;0;34.0;
David da Hora;24.0;BRA;R$2,75M - R$8,5M;R$23.000 p/m;6.89;6;2.748;49;5;865.0;
Andr� Luis;27.0;BRA;R$11M - R$33M;R$107.500 p/m;6.9;8;1.96;50;2;829.0;
Rafael Rat�o;28.0;BRA;R$3,5M - R$11M;R$130.000 p/m;6.77;14;2.996;35;3;925.0;
Erick;26.0;BRA;R$3,25M;R$97.500 p/m;6.5;0;57.0;4;0;21.0;
Lel�;27.0;BRA;R$4,25M;R$130.000 p/m;6.94;4;346.0;0;2;97.0;
Rafael Elias;25.0;BRA;R$2,4M - R$7M;R$80.000 p/m;6.8;2;365.0;3;0;90.0;
Mateus Gon�alves;30.0;BRA;R$10m;R$55.000 p/m;6.65;0;42.0;2;0;14.0;
Adson;24.0;BRA;R$5M - R$16M;R$165.000 p/m;7.08;2;136.0;0;0;43.0;
Shaylon;27.0;BRA;R$2,4M - R$7M;R$70.000 p/m;6.71;5;2.862;58;2;1.024;
Matheus Nascimento;20.0;BRA;R$30M - R$90M;R$82.500 p/m;6.64;1;191.0;1;0;51.0;
Rossi;31.0;BRA;R$240m - R$750m;R$177.500 p/m;6.85;8;2.052;20;3;654.0;
Osvaldo;37.0;BRA;R$1,3M;R$117.500 p/m;6.92;11;3.69;119;4;1.38;
Matheus Dav�;25.0;BRA;R$3,5M - R$10M;R$107.500 p/m;6.5;0;373.0;4;1;94.0;
Bruninho;21.0;BRA;R$12M - R$37M;R$142.500 p/m;6.86;3;1.674;49;2;712.0;
Andr� Henrique;22.0;BRA;R$3,25M - R$9,5M;R$85.000 p/m;6.79;11;1.993;12;3;532.0;
Matheus Gon�alves;19.0;BRA;R$36M - R$110M;R$25.000 p/m;6.96;1;241.0;9;0;119.0;
Peglow;22.0;BRA;R$1,7M - R$5M;R$85.000 p/m;6.98;1;465.0;17;0;225.0;
R�mulo Cardoso;22.0;BRA;R$4M - R$12M;R$107.500 p/m;6.93;1;608.0;22;1;224.0;
Mat�as Segovia;21.0;PAR;R$7,5M - R$22M;R$115.000 p/m;6.7;0;128.0;4;0;47.0;
�verton Galdino;27.0;BRA;R$2,5M;R$85.000 p/m;6.8;5;1.694;58;1;597.0;
Erick Farias;27.0;BRA;R$5,5M - R$16M;R$60.000 p/m;6.85;5;1.612;59;0;599.0;
Everaldo;30.0;BRA;R$350m - R$1,1M;R$100.000 p/m;6.87;2;998.0;42;2;400.0;
Rafa Silva;32.0;BRA;R$0;R$107.500 p/m;6.6;0;33.0;0;0;9.0;
Z� Hugo;25.0;BRA;R$160m - R$450m;R$80.000 p/m;6.82;4;2.173;97;1;844.0;
Giovane;21.0;BRA;R$6,5M - R$20M;R$72.500 p/m;6.63;1;625.0;2;0;185.0;
Wesley;19.0;BRA;R$21M - R$62M;R$97.500 p/m;6.79;1;835.0;23;1;254.0;
Wellington Rato;32.0;BRA;R$3,25M - R$9,5M;R$137.500 p/m;6.9;2;523.0;14;1;185.0;
Erick Marcus;20.0;BRA;R$15M - R$45M;R$29.000 p/m;6.66;0;669.0;5;1;252.0;
Kleiton;25.0;BRA;R$400m - R$1,2M;R$34.000 p/m;6.79;3;548.0;2;1;151.0;
Romeo Ben�tez;22.0;PAR;R$2M - R$6M;R$27.000 p/m;6.7;0;21.0;0;0;8.0;
Emiliano Rodr�guez;21.0;URU;R$1M - R$3M;R$20.000 p/m;6.62;3;418.0;1;0;101.0;
Robert;19.0;BRA;R$5,5M - R$16M;R$72.500 p/m;6.78;1;617.0;0;1;170.0;
Jo�o Carlos;23.0;BRA;R$120m - R$350m;R$19.000 p/m;6.73;1;389.0;20;0;150.0;
Gabriel Taliari;27.0;BRA;R$100m;R$24.000 p/m;6.75;0;400.0;1;2;124.0;
Lucca Holanda;21.0;BRA;R$6M - R$18M;R$110.000 p/m;6.82;7;1.896;17;3;479.0;
Caio Dantas;31.0;BRA;R$15m - R$40m;R$55.000 p/m;6.61;6;1.337;8;0;340.0;
Ruan;19.0;BRA;R$15M - R$46M;R$25.000 p/m;6.5;0;23.0;1;0;8.0;
Jader;21.0;BRA;R$5,5M - R$16M;R$28.000 p/m;6.6;0;182.0;3;0;54.0;
St�nio;21.0;BRA;R$750m - R$2,2M;R$5.000 p/m;6.57;1;211.0;9;0;75.0;
Gabriel Barros;23.0;BRA;R$2,5M - R$7,5M;R$72.500 p/m;8.2;1;158.0;9;2;66.0;
Kek�;29.0;BRA;R$750m - R$2,2M;R$37.000 p/m;6.72;2;168.0;3;0;50.0;
Fellipe Mateus;33.0;BRA;R$500m - R$1,5M;R$49.000 p/m;6.89;3;1.277;37;1;462.0;
Daniel;19.0;BRA;R$650m - R$1,9M;R$22.000 p/m;6.8;2;140.0;2;0;32.0;
Matheus Cadorini;22.0;BRA;R$500m - R$1,5M;R$60.000 p/m;6.75;0;87.0;0;0;20.0;
Andr� Luiz;22.0;BRA;R$30m - R$80m;R$12.000 p/m;6.7;0;40.0;0;0;9.0;
Arthur Sousa;21.0;BRA;R$1,9M - R$6M;R$55.000 p/m;6.99;5;483.0;2;1;151.0;
GB;19.0;BRA;R$15M - R$44M;R$35.000 p/m;6.56;2;582.0;4;0;166.0;
Alisson;19.0;BRA;R$12M - R$36M;R$20.000 p/m;6.86;4;349.0;9;0;107.0;
Kennedy Anderson;20.0;BRA;R$10m - R$35m;R$5.250 p/m;6.65;0;41.0;0;0;11.0;
Dylan Talero;20.0;COL;R$650m - R$1,9M;R$9.000 p/m;6.7;1;94.0;0;0;21.0;
Julimar;23.0;BRA;R$900m - R$2,75M;R$23.000 p/m;6.97;1;168.0;2;1;42.0;
Alexandre Jesus;23.0;BRA;R$280m - R$850m;R$28.000 p/m;6.8;0;18.0;1;0;5.0;
Werik Pop�;23.0;BRA;R$1,3M - R$3,75M;R$14.000 p/m;6.77;2;136.0;0;0;36.0;
Daniel Silva;20.0;BRA;R$0;R$2.100 p/m;6.58;1;195.0;0;0;49.0;
Isaac;20.0;BRA;R$7M - R$22M;R$31.000 p/m;6.8;0;49.0;0;0;18.0;
Emerson Urso;23.0;BRA;R$15m - R$50m;R$5.250 p/m;6.6;0;39.0;0;0;19.0;
William Gomes;18.0;BRA;R$34M - R$100M;R$52.500 p/m;7.0;1;186.0;7;0;91.0;
Iarley Barros;21.0;BRA;R$400m - R$1,1M;R$4.000 p/m;6.8;0;215.0;0;0;54.0;
Isaac;20.0;BRA;R$650m - R$1,9M;R$15.000 p/m;6.78;1;365.0;2;0;127.0;
Eduardo Melo;23.0;BRA;R$0;R$2.750 p/m;6.73;0;155.0;2;0;39.0;
Sillas;29.0;BRA;R$40m;R$7.250 p/m;6.2;0;40.0;0;0;11.0;
David Kau�;19.0;BRA;R$1,4M - R$4,25M;R$24.000 p/m;6.7;0;48.0;1;0;20.0;
Lucas Daniel;19.0;BRA;R$350m - R$1,1M;R$2.000 p/m;6.95;0;103.0;7;0;35.0;
Ricardo Mathias;18.0;BRA;R$4M - R$12M;R$7.750 p/m;6.8;3;310.0;1;0;79.0;
Gustavo Nunes;19.0;BRA;R$300m - R$900m;R$6.500 p/m;6.95;0;258.0;1;1;90.0;
Jo�o Louren�o;19.0;BRA;R$3,5M - R$11M;R$25.000 p/m;6.8;0;41.0;3;0;15.0;
Luis Felipe;20.0;BRA;R$3,75M - R$11M;R$27.000 p/m;7.15;1;84.0;2;0;43.0;
Jo�o Victor Silva;20.0;BRA;R$0;R$1.500 p/m;7.3;1;26.0;0;0;6.0;
Luighi;18.0;BRA;R$6,5M - R$19M;R$23.000 p/m;6.63;0;107.0;1;0;22.0;
Jo�o Artur;20.0;BRA;R$0;R$1.100 p/m;6.5;0;29.0;0;0;6.0;
Cadu;20.0;BRA;R$350m - R$1,1M;R$20.000 p/m;6.75;0;25.0;0;0;7.0;
Luis Miguel;19.0;BRA;R$350m - R$1,1M;R$5.000 p/m;6.5;0;68.0;5;0;26.0;
Ryan Luka;21.0;BRA;R$280m - R$850m;R$6.500 p/m;6.79;5;684.0;8;0;156.0;
Adrianinho;20.0;BRA;R$70m - R$200m;R$3.000 p/m;6.67;0;115.0;3;0;42.0;
Dyego;19.0;BRA;R$350m - R$1,1M;R$13.000 p/m;6.6;0;58.0;1;0;13.0;
Thayllon;23.0;BRA;R$0;R$4.000 p/m;6.7;0;37.0;2;0;15.0;
Alexsandro;18.0;BRA;R$1,4M - R$4,25M;R$2.300 p/m;6.4;0;28.0;0;0;6.0;
Riquelme Fillipi;18.0;BRA;R$7,5M - R$23M;R$22.000 p/m;6.4;0;17.0;0;0;5.0;
Lucas Aruba;20.0;BRA;R$10m - R$35m;R$5.250 p/m;6.75;0;137.0;4;0;44.0;
Athyrson;20.0;BRA;R$5m - R$20m;R$4.250 p/m;6.4;0;48.0;1;0;13.0;
Deividy;22.0;BRA;R$0;R$1.100 p/m;6.65;0;109.0;0;1;27.0;
Petterson;21.0;BRA;R$80m - R$240m;R$1.100 p/m;6.62;0;105.0;6;0;34.0;
Jardiel;19.0;BRA;R$350m - R$1M;R$22.000 p/m;6.7;0;28.0;0;0;8.0;
Rafael Lobato;18.0;BRA;R$2,75M - R$8,5M;R$10.000 p/m;6.9;0;45.0;4;0;17.0;
Tiago;19.0;BRA;R$450m - R$1,3M;R$4.000 p/m;7.2;1;378.0;14;0;160.0;
Paulinho;19.0;BRA;R$550m - R$1,7M;R$1.500 p/m;6.5;0;15.0;0;0;4.0;
Guilherme Bahia;18.0;BRA;R$700m - R$2,1M;R$1.400 p/m;6.3;0;36.0;0;0;9.0;
Guilherme Estrella;18.0;BRA;R$900m - R$2,75M;R$1.500 p/m;6.58;1;188.0;2;0;49.0;
Gabriel Lyra;20.0;BRA;R$140m - R$400m;R$1.100 p/m;7.1;0;42.0;0;1;10.0;
Guilherme Brito;21.0;BRA;R$600m - R$1,8M;R$1.700 p/m;6.76;0;87.0;3;0;30.0;
Vitor Gon�alves;21.0;BRA;R$0;R$750 p/m;7.0;0;5.0;0;0;1.0;
