;Unnamed: 0;Nome;Idade;Nac;Valor Estimado;SalÃ¡rio;Nota media;Gols;Minutos;Cruzamentos tentados;Assistencias;Passes tentados;PressÃ£o tentadas
23;25;Pablo Galdames;27.0;CHI;R$80m - R$240m;R$97.500 p/m;6.65;0;117.0;51;0;66.0;
24;26;Victor Bobsin;24.0;BRA;R$30M - R$90M;R$130.000 p/m;6.89;1;1.459;18;0;850.0;
25;27;Leonardo Godoy;29.0;ARG;R$18M - R$54M;R$225.000 p/m;6.93;3;4.703;14;9;1.828;
26;28;William;29.0;BRA;R$15M - R$44M;R$230.000 p/m;6.86;1;2.875;81;4;1.089;
27;29;Anï¿½bal Moreno;25.0;ARG;R$25M - R$74M;R$290.000 p/m;6.83;2;2.195;10;2;1.447;
28;30;Helibelton Palacios;31.0;COL;Nï¿½o estï¿½ ï¿½ venda;R$152.500 p/m;6.87;0;2.127;54;6;862.0;
29;31;Josï¿½ Luis Rodrï¿½guez;27.0;URU;R$8M - R$24M;R$265.000 p/m;6.81;3;2.563;57;3;1.211;
30;32;Rodrigo Battaglia;33.0;ARG;R$6M - R$18M;R$500.000 p/m;6.82;2;3.032;69;5;1.743;
31;33;Neto Borges;28.0;BRA;R$50M - R$150M;R$255.000 p/m;7.04;1;499.0;24;2;257.0;
32;34;Andrï¿½ Ramalho;32.0;BRA;R$3,25M - R$10M;R$585.000 p/m;6.87;0;276.0;37;0;168.0;
33;35;Vitor Carvalho;27.0;BRA;R$4,5M - R$14M;R$172.500 p/m;6.95;0;480.0;93;0;279.0;
34;36;Ayrton Lucas;27.0;BRA;R$19M - R$58M;R$215.000 p/m;6.93;2;1.709;124;3;986.0;
35;37;Thaciano;29.0;BRA;R$18M;R$120.000 p/m;6.96;5;2.865;164;5;1.916;
36;38;Thiago Maia;27.0;BRA;R$21M - R$62M;R$300.000 p/m;6.89;2;1.964;188;8;1.15;
37;40;Otï¿½vio;30.0;BRA;R$18M - R$52M;R$450.000 p/m;6.82;1;3.678;178;6;2.218;
38;41;Rafinha;39.0;BRA;R$20m - R$50m;R$400.000 p/m;6.72;5;2.967;158;6;1.591;
39;42;Filipe Augusto;31.0;BRA;R$31M - R$92M;R$205.000 p/m;7.08;7;3.662;109;10;2.115;
40;43;Lucas Romero;30.0;ARG;R$14M - R$42M;R$240.000 p/m;6.87;1;3.002;53;3;1.774;
41;44;Renzo Saravia;31.0;ARG;R$6,5M - R$19M;R$320.000 p/m;6.91;0;4.212;139;6;2.183;
42;45;Allan;27.0;BRA;R$58M - R$175M;R$250.000 p/m;6.9;2;3.87;80;11;2.424;
43;46;Matheus Fernandes;26.0;BRA;R$46M - R$135M;R$205.000 p/m;7.1;7;4.249;193;6;2.593;
44;47;Marcos Rocha;35.0;BRA;R$650m - R$2M;R$420.000 p/m;6.83;2;3.832;180;4;1.675;
45;48;Pastor;24.0;BRA;R$5M - R$16M;R$80.000 p/m;6.99;0;519.0;146;1;258.0;
46;49;Danilo Barbosa;28.0;BRA;R$15M - R$45M;R$370.000 p/m;6.93;2;3.741;83;7;2.146;
47;50;Bruno Henrique;35.0;BRA;R$900m - R$2,75M;R$360.000 p/m;6.7;1;1.666;183;2;853.0;
48;51;Gabriel Menino;24.0;BRA;R$29M - R$88M;R$290.000 p/m;6.96;3;2.672;144;5;1.663;
49;52;Zï¿½ Rafael;31.0;BRA;Nï¿½o estï¿½ ï¿½ venda;R$950 p/m;6.9;2;2.978;188;6;1.854;
50;53;Fausto Vera;24.0;ARG;R$33M - R$100M;R$430.000 p/m;7.04;3;3.82;118;4;3.125;
51;54;Gregore;30.0;BRA;R$21M - R$64M;R$230.000 p/m;6.84;4;4.252;117;4;2.435;
52;55;ï¿½lvaro Barreal;24.0;ARG;R$2,3M - R$7M;R$215.000 p/m;6.89;4;3.26;132;3;1.168;
53;56;Rodrigo Dourado;30.0;BRA;R$7M - R$21M;R$245.000 p/m;6.7;0;471.0;110;0;280.0;
54;57;Lucas Piton;24.0;ITA;R$22M - R$64M;R$325.000 p/m;6.92;3;3.958;41;7;2.069;
55;59;Caio Alexandre;25.0;BRA;R$50M - R$150M;R$340.000 p/m;6.95;8;4.203;60;6;2.488;
56;60;Patrick de Paula;25.0;BRA;R$15M - R$45M;R$177.500 p/m;6.88;1;3.383;18;2;2.07;
57;61;Yago Pikachu;32.0;BRA;Nï¿½o estï¿½ ï¿½ venda;R$240.000 p/m;6.96;5;3.71;67;7;1.41;
58;62;Pedro Augusto;27.0;BRA;R$3M - R$9,5M;R$97.500 p/m;6.78;0;2.748;57;3;1.738;
59;63;Gonzalo Escobar;27.0;ARG;R$2,75M - R$8,5M;R$92.500 p/m;6.82;1;2.177;166;6;915.0;
60;64;Mayke;32.0;BRA;R$6M;R$290.000 p/m;6.85;1;2.1;160;1;961.0;
61;65;Pablo Maia;22.0;BRA;R$49M - R$145M;R$300.000 p/m;6.93;2;4.338;92;9;2.803;
62;66;Diego Costa;25.0;BRA;R$28M - R$82M;R$375.000 p/m;6.86;2;4.196;143;2;2.768;
63;67;Marlon;27.0;BRA;R$1,8M - R$5,5M;R$165.000 p/m;6.64;0;2.487;147;1;956.0;
64;68;Thiago Santos;35.0;BRA;R$200m;R$300.000 p/m;6.67;0;283.0;99;1;158.0;
65;69;Jaï¿½lson;29.0;BRA;R$5M - R$15M;R$220.000 p/m;6.5;0;41.0;192;0;25.0;
66;70;Hugo Moura;26.0;BRA;R$18M - R$54M;R$225.000 p/m;6.87;3;3.297;154;7;1.907;
67;71;Gabriel;32.0;BRA;R$2M;R$300.000 p/m;6.73;0;218.0;45;1;119.0;
68;72;Pepï¿½;26.0;BRA;R$10M - R$31M;R$205.000 p/m;6.81;1;3.584;146;5;2.026;
69;73;Reinaldo;35.0;BRA;R$60m - R$180m;R$172.500 p/m;6.93;2;3.867;58;5;1.965;
70;74;Joï¿½o Pedro;28.0;BRA;R$12M - R$36M;R$215.000 p/m;6.89;0;4.119;124;6;2.186;
71;75;Lucas Esquivel;23.0;ARG;R$25M - R$74M;R$260.000 p/m;7.01;5;3.75;21;8;1.619;
72;76;Guga;26.0;BRA;R$18M - R$54M;R$260.000 p/m;6.87;1;3.343;19;5;2.091;
73;77;Hï¿½rcules;24.0;BRA;R$18M - R$54M;R$280.000 p/m;6.81;0;2.703;162;2;1.619;
74;78;Cacï¿½;25.0;BRA;R$13M - R$39M;R$197.500 p/m;6.98;2;3.787;79;3;2.3;
75;79;Caio Paulista;26.0;BRA;R$18M - R$54M;R$290.000 p/m;6.96;9;2.431;50;6;1.03;
76;80;Erick;27.0;BRA;R$27M - R$80M;R$290.000 p/m;6.9;2;3.298;19;4;1.989;
77;81;Yerson Candelo;32.0;COL;Nï¿½o estï¿½ ï¿½ venda;R$187.500 p/m;6.86;2;3.849;198;6;1.738;
78;82;Raul;28.0;BRA;R$29M - R$88M;R$250.000 p/m;6.98;3;3.673;45;5;2.256;
79;83;Luan;25.0;BRA;R$17M - R$50M;R$100.000 p/m;6.86;2;2.998;18;7;1.883;
80;84;Barreto;28.0;BRA;R$15m;R$29.000 p/m;6.64;0;1.5;28;2;828.0;
81;85;Martinelli;23.0;BRA;R$17M - R$50M;R$250.000 p/m;6.82;4;3.585;200;2;2.22;
82;86;Joï¿½o Lucas;26.0;BRA;R$19M - R$56M;R$265.000 p/m;6.84;4;4.075;180;3;2.071;
83;87;Liziero;26.0;BRA;R$9M - R$26M;R$285.000 p/m;6.52;0;284.0;55;1;151.0;
84;88;Jadsom;23.0;BRA;R$14M - R$42M;R$147.500 p/m;6.84;0;3.26;192;3;2.315;
85;89;Du Queirï¿½z;24.0;BRA;R$5M - R$16M;R$350.000 p/m;6.82;2;1.919;149;1;1.164;
86;90;Raniele;27.0;BRA;R$7,5M - R$23M;R$180.000 p/m;6.85;3;2.823;71;1;1.806;
87;91;Jï¿½dson;31.0;BRA;Nï¿½o estï¿½ ï¿½ venda;R$172.500 p/m;6.84;3;3.474;182;4;1.871;
88;92;Baralhas;26.0;BRA;R$4,5M - R$14M;R$160.000 p/m;6.8;2;3.92;66;5;2.156;
89;93;Paulo Henrique;28.0;BRA;R$9,5M - R$28M;R$152.500 p/m;6.8;1;2.112;55;3;1.164;
90;94;Zï¿½ Gabriel;25.0;BRA;R$10M - R$29M;R$120.000 p/m;6.76;1;2.589;26;1;1.698;
91;95;Yuliï¿½n Gï¿½mez;27.0;COL;R$1,9M;R$137.500 p/m;7.01;1;2.649;132;5;1.427;
92;96;Vanderlan;22.0;BRA;R$22M - R$66M;R$125.000 p/m;6.92;1;1.645;4;2;838.0;
93;97;Daniel Guedes;30.0;BRA;R$5M - R$15M;R$87.500 p/m;6.68;2;3.743;69;2;1.828;
94;98;Wesley;21.0;BRA;R$12M - R$35M;R$255.000 p/m;6.59;0;244.0;108;0;130.0;
95;99;Zï¿½ Welison;29.0;BRA;R$18M - R$54M;R$90.000 p/m;6.84;1;2.984;105;4;1.856;
96;100;Guilherme Madruga;24.0;BRA;R$16M - R$48M;R$90.000 p/m;6.93;6;5.276;132;9;3.006;
97;101;Dudu;25.0;BRA;R$12M - R$36M;R$82.500 p/m;6.79;2;3.011;68;4;1.968;
98;102;Rhaldney;26.0;BRA;R$3M - R$9M;R$125.000 p/m;6.97;1;3.007;39;8;1.673;
99;103;Tinga;31.0;BRA;Nï¿½o estï¿½ ï¿½ venda;R$120.000 p/m;6.92;2;3.069;124;6;1.528;
100;104;Machado;28.0;BRA;R$3,75M - R$11M;R$30.000 p/m;6.86;4;2.838;35;8;1.71;
101;105;Rodrigo Andrade;27.0;BRA;R$9M - R$27M;R$97.500 p/m;6.74;1;2.972;82;2;1.719;
102;106;Bruno Pacheco;32.0;BRA;R$4M - R$12M;R$167.500 p/m;6.85;2;3.579;159;6;1.603;
103;107;Fï¿½bio Matheus;21.0;BRA;R$15M - R$44M;R$112.500 p/m;7.24;0;1.118;150;3;648.0;
104;108;Dudu;27.0;BRA;R$3M - R$9M;R$120.000 p/m;6.64;1;520.0;33;0;187.0;
105;109;Matheus Dias;22.0;BRA;R$7,5M - R$22M;R$112.500 p/m;6.76;1;817.0;31;1;484.0;
106;110;Fernando Henrique;23.0;BRA;R$2,2M - R$6,5M;R$29.000 p/m;6.68;0;407.0;26;0;242.0;
107;111;Fabinho;22.0;BRA;R$14M - R$41M;R$125.000 p/m;6.74;1;419.0;105;1;230.0;
108;112;Moraes;27.0;BRA;R$350m - R$1,1M;R$72.500 p/m;6.62;0;626.0;168;0;295.0;
109;113;Ryan;22.0;BRA;R$1,1M - R$3,25M;R$25.000 p/m;6.91;0;2.995;156;6;1.685;
110;114;Rezende;29.0;BRA;R$2,5M;R$100.000 p/m;6.77;0;2.11;90;2;1.4;
111;115;Ronald;27.0;BRA;R$3,25M - R$9,5M;R$102.500 p/m;6.53;0;138.0;35;0;73.0;
112;116;Romulo;29.0;BRA;R$350m - R$1,1M;R$70.000 p/m;6.69;1;716.0;108;2;363.0;
113;117;Yago Henrique;29.0;BRA;R$6,5M - R$20M;R$77.500 p/m;6.84;2;3.207;159;6;1.92;
114;118;Claudinho;24.0;BRA;R$1,3M - R$4M;R$32.000 p/m;6.92;1;1.143;107;3;552.0;
115;119;Jobson;29.0;BRA;R$1,6M - R$5M;R$55.000 p/m;7.1;1;80.0;121;0;49.0;
116;120;Nathan;22.0;BRA;R$1,6M - R$4,75M;R$70.000 p/m;6.86;2;1.585;93;0;935.0;
117;121;Lï¿½o Gomes;28.0;BRA;R$19M;R$80.000 p/m;6.89;0;931.0;170;2;518.0;
118;122;Guilherme Romï¿½o;27.0;BRA;R$850m - R$2,5M;R$42.000 p/m;6.71;1;2.133;112;4;1.05;
119;123;Naves;22.0;BRA;R$8,5M - R$25M;R$70.000 p/m;6.87;0;1.3;185;0;848.0;
120;124;Marcelo Hermes;29.0;BRA;R$0;R$65.000 p/m;6.58;0;542.0;181;0;224.0;
121;126;Breno Santos;26.0;BRA;R$350m - R$1,1M;R$28.000 p/m;6.64;0;1.583;92;0;864.0;
122;127;Maguinho;32.0;BRA;R$80m;R$117.500 p/m;6.87;0;1.858;120;3;964.0;
123;128;Kaiki;21.0;BRA;R$1,8M - R$5,5M;R$29.000 p/m;6.68;0;652.0;152;2;231.0;
124;129;Caï¿½que Gonï¿½alves;29.0;BRA;R$10m - R$25m;R$47.000 p/m;6.76;1;2.282;123;1;1.254;
125;130;Willian Oliveira;31.0;BRA;R$140m;R$82.500 p/m;6.83;0;1.818;171;2;1.109;
126;131;Leandrinho;31.0;BRA;R$140m - R$400m;R$46.000 p/m;6.96;0;363.0;195;2;188.0;
127;132;Higor Meritï¿½o;30.0;BRA;R$25m - R$80m;R$65.000 p/m;6.76;1;3.904;188;2;2.025;
128;135;Patric Calmon;30.0;BRA;R$70m - R$220m;R$38.000 p/m;6.84;0;245.0;21;0;125.0;
129;137;Lucas Justen;21.0;BRA;R$600m - R$1,8M;R$48.000 p/m;6.7;0;90.0;112;0;47.0;
130;138;Rodrigo;22.0;BRA;R$4,5M - R$13M;R$57.500 p/m;6.75;0;301.0;67;0;167.0;
131;139;Rodrigo Sam;29.0;BRA;R$90m;R$23.000 p/m;6.61;0;461.0;162;0;297.0;
132;144;Eduardo;24.0;BRA;R$180m;R$12.000 p/m;6.3;0;73.0;36;0;43.0;
133;149;Lï¿½o Mana;20.0;BRA;R$11M - R$33M;R$45.000 p/m;6.8;0;1.159;111;2;651.0;
134;150;Thiago Medeiros;20.0;BRA;R$5,5M - R$17M;R$8.500 p/m;6.82;1;639.0;2;2;405.0;
135;156;Igor Jesus;21.0;BRA;R$4M - R$12M;R$30.000 p/m;6.67;0;200.0;142;0;140.0;
136;172;Bahia;18.0;BRA;R$650m - R$1,9M;R$26.000 p/m;6.27;0;92.0;204;0;54.0;
137;176;Paulo Vitor;20.0;BRA;R$700m - R$2M;R$13.000 p/m;6.74;0;535.0;166;1;333.0;
138;181;Negrucci;20.0;BRA;R$500m - R$1,6M;R$20.000 p/m;6.3;0;90.0;89;0;52.0;
139;187;Joï¿½o Dalla Corte;18.0;BRA;R$3,75M - R$12M;R$6.500 p/m;6.85;0;91.0;200;0;73.0;
140;193;JP;19.0;BRA;R$120m - R$400m;R$11.000 p/m;6.4;0;23.0;120;0;12.0;
141;195;Calebe;21.0;BRA;R$10m - R$35m;R$5.000 p/m;6.95;1;65.0;13;0;36.0;
142;196;Lï¿½o Santos;21.0;BRA;R$0;R$2.200 p/m;6.8;0;75.0;162;0;40.0;
143;217;Lï¿½o Gonï¿½alves;22.0;BRA;R$0;R$4.750 p/m;6.5;0;61.0;54;0;29.0;
144;218;Zï¿½ Phelipe;19.0;BRA;R$10m - R$35m;R$1.900 p/m;6.5;0;16.0;152;0;10.0;
145;219;Rafael Soares;19.0;BRA;R$400m - R$1,2M;R$1.500 p/m;6.5;0;21.0;203;0;11.0;
146;220;Michel Cavalcante;18.0;BRA;R$500m - R$1,5M;R$1.500 p/m;6.5;0;157.0;151;0;81.0;
147;221;Eliï¿½dson;21.0;BRA;R$0;R$1.100 p/m;6.65;0;375.0;2;0;223.0;
148;222;Eliel;21.0;BRA;R$0;R$1.100 p/m;6.5;0;100.0;173;0;53.0;
149;223;Ian Luccas;21.0;BRA;R$1,9M - R$6M;R$24.000 p/m;6.15;0;186.0;160;0;109.0;
150;237;Yago;18.0;BRA;R$400m - R$1,2M;R$14.000 p/m;6.15;0;169.0;133;0;101.0;
151;239;Hamilton;20.0;BRA;R$0;R$950 p/m;6.55;0;135.0;72;0;77.0;
152;265;Dorival;20.0;BRA;R$0;R$3.000 p/m;6.63;0;90.0;69;0;39.0;
